INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-01-24;IRGZ;2.349;0.021
MICEXINDEXCF;2001-01-24;LKOH;325.457;0.505
MICEXINDEXCF;2001-01-24;MSNG;0.866;0.035
MICEXINDEXCF;2001-01-24;NKEL;258.923;0.076
MICEXINDEXCF;2001-01-24;RTKM;29.828;0.034
MICEXINDEXCF;2001-01-24;SAGO;0.382;0
MICEXINDEXCF;2001-01-24;SBER;816.597;0.014
MICEXINDEXCF;2001-01-24;SIBN;8.6;0.012
MICEXINDEXCF;2001-01-24;TATN;13.293;0.06
MICEXINDEXCF;2001-01-24;YUKO;58.317;0.03
MICEXINDEXCF;2001-01-25;EESR;2.973;0.168
MICEXINDEXCF;2001-01-25;INUR;63.1;0.048
MICEXINDEXCF;2001-01-25;IRGZ;2.371;0.021
MICEXINDEXCF;2001-01-25;LKOH;326.441;0.501
MICEXINDEXCF;2001-01-25;MSNG;0.912;0.036
MICEXINDEXCF;2001-01-25;NKEL;254.941;0.074
MICEXINDEXCF;2001-01-25;RTKM;29.893;0.034
MICEXINDEXCF;2001-01-25;SAGO;0.38;0
MICEXINDEXCF;2001-01-25;SBER;813.811;0.013
MICEXINDEXCF;2001-01-25;SIBN;8.815;0.012
MICEXINDEXCF;2001-01-25;TATN;13.658;0.061
MICEXINDEXCF;2001-01-25;YUKO;59.587;0.03
MICEXINDEXCF;2001-01-26;EESR;3.026;0.172
MICEXINDEXCF;2001-01-26;INUR;66;0.051
MICEXINDEXCF;2001-01-26;IRGZ;2.404;0.021
MICEXINDEXCF;2001-01-26;LKOH;320.143;0.493
MICEXINDEXCF;2001-01-26;MSNG;0.937;0.038
MICEXINDEXCF;2001-01-26;NKEL;250.977;0.073
MICEXINDEXCF;2001-01-26;RTKM;29.759;0.034
MICEXINDEXCF;2001-01-26;SAGO;0.38;0
MICEXINDEXCF;2001-01-26;SBER;799.739;0.013
MICEXINDEXCF;2001-01-26;SIBN;9.008;0.012
MICEXINDEXCF;2001-01-26;TATN;13.731;0.062
MICEXINDEXCF;2001-01-26;YUKO;61.212;0.031
MICEXINDEXCF;2001-01-29;EESR;2.962;0.176
MICEXINDEXCF;2001-01-29;INUR;65;0.052
MICEXINDEXCF;2001-01-29;IRGZ;2.468;0.023
MICEXINDEXCF;2001-01-29;LKOH;295.69;0.476
MICEXINDEXCF;2001-01-29;MSNG;0.934;0.039
MICEXINDEXCF;2001-01-29;NKEL;247.351;0.075
MICEXINDEXCF;2001-01-29;RTKM;29.266;0.035
MICEXINDEXCF;2001-01-29;SAGO;0.4;0
